Latitude,Longitude
40.76498,-73.9726651
40.7645773,-73.9736511
40.7642554,-73.972905
40.7639334,-73.9721588
40.7636115,-73.9714127
40.7632895,-73.9706665
40.7629676,-73.9699204
40.7626737,-73.969224
40.7623799,-73.9685276
40.762086,-73.9678313
40.7617922,-73.9671349
40.7614983,-73.9664385
40.7612044,-73.9657421
40.7609106,-73.9650458
40.7606167,-73.9643494
40.7603394,-73.9636915
40.760062,-73.9630335
40.7597847,-73.9623756
40.7595073,-73.9617176
40.75923,-73.9610597
40.7589526,-73.9604017
40.7586753,-73.9597438
40.7591696,-73.9593808
40.7596639,-73.9590178
40.7601581,-73.9586548
40.7606524,-73.9582918
40.7611467,-73.9579288
40.7608869,-73.9572938
40.7604154,-73.9575778
40.7599438,-73.9578619
40.7594723,-73.9581459
40.7589973,-73.9584977
40.7585223,-73.9588496
40.7580473,-73.9592014
40.7575722,-73.9595533
40.7570972,-73.9599051
40.7566222,-73.9602569
40.7561472,-73.9606088
40.7556722,-73.9609606
40.7551972,-73.9613125
40.7547222,-73.9616643
40.7542472,-73.9620161
40.7537721,-73.962368
40.7532971,-73.9627198
40.7528221,-73.9630717
40.7523471,-73.9634235
40.7518721,-73.9637753
40.7513971,-73.9641272
40.7509221,-73.964479
40.7504471,-73.9648309
40.749972,-73.9651827
40.749497,-73.9655345
40.749022,-73.9658864
40.748547,-73.9662382
40.748072,-73.9665901
40.747597,-73.9669419
40.747122,-73.9672938
40.746647,-73.9676456
40.7461719,-73.9679974
40.7456969,-73.9683493
40.7452219,-73.9687011
40.7447469,-73.969053
40.7442719,-73.9694048
40.7437969,-73.9697566
40.7433219,-73.9701085
40.7428469,-73.9704603
40.7423718,-73.9708122
40.7418968,-73.971164
40.7414218,-73.9715158
40.7409468,-73.9718677
40.7404718,-73.9722195
40.7399968,-73.9725714
40.7395218,-73.9729232
40.7390468,-73.973275
40.7385717,-73.9736269
40.7380967,-73.9739787
40.7376217,-73.9743306
40.7371467,-73.9746824
40.7370395,-73.9748722
40.7362416,-73.9749931
40.7354436,-73.975114
40.7348881,-73.9749807
40.7343326,-73.9748475
40.7337771,-73.9747142
40.7332217,-73.9745809
40.7326662,-73.9744477
40.7321107,-73.9743144
40.7315552,-73.9741812
40.7309997,-73.9740479
40.7304879,-73.9743977
40.7299761,-73.9747474
40.7294643,-73.9750972
40.7289525,-73.9754469
40.7284406,-73.9757967
40.7279288,-73.9761465
40.727417,-73.9764962
40.7269052,-73.976846
40.7263934,-73.9771957
40.7258816,-73.9775455
40.7262105,-73.978333
40.7265393,-73.9791206
40.7268682,-73.9799081
40.7260452,-73.9805078
